,,,,,
Location_ID,Make,Model,Serial,Note,Date
204659,Carrier,48FCM12A2A5A0AA0A0,1323P38001,,4/1/2024
204659,Carrier,48FCM16A3A5A0AA0A0,0523P12958,,4/1/2024
204659,Carrier,48TCED142A3ASA0A0G0,4122P40372,,4/1/2024
204659,Carrier,48TCED142A3ASA0A0G0,4122P40378,,4/1/2024
204659,Carrier,48TCED142A3ASA0A0G0,4122P40434,,4/1/2024
589396,LUXAIRE,ZF120N24R4B1BAD1A3,N/A,,1/1/2022
589396,LUXAIRE,ZF120N24R4B1BAD1A3,N/A,,1/1/2022
589396,LUXAIRE,ZF120N24R4B1BAD1A3,N/A,,1/1/2022
589396,TRANE,TCH120,N/A,,1/1/2022
589396,TRANE,THC060,N/A,,1/1/2022
589396,TRANE,TCH090,N/A,,1/1/2022
589396,CAPTIVE AIRE,CASRTU3-1.250- 18-15T-DOAS,N/A,,1/1/2022
592395,Trane,YHC120F4RHAOLC,172414086L,10 Tons RTU,9/17/2017
592395,Trane,YSC120F4HA0001,1711140012,10 Tons RTU,9/17/2017
592395,Trane,YSC120F4EHA1WC,172212489L,10 Tons RTU,9/17/2017
592395,Trane,YSD240F4RHA001S,1711103321D,20 Tons RTU,9/17/2017
592395,Trane,YSC120F4REHA1WC,172212477L,10 Tons RTU,9/17/2017
592395,Trane,YSC120F4EHA1WC,171113993L,10 Tons RTU,9/17/2017
592395,Trane,YSC06G4EHA01,171712979L,5 Tons RTU,9/17/2017
758696,TRANE,YSC120H3EHA0300,192113350L,10 Tons,12/18/2019
758696,TRANE,YSC120H3EHA0300,192810398L,10 Tons,12/18/2019
758696,TRANE,YSC120H3EHA0300,192012369L,10 Tons,12/18/2019
758696,TRANE,YSC120H3EHA0300,192012366L,10 Tons,12/18/2019
758696,TRANE,YHC060F3RHALRD00,182414570L,05 Tons,12/18/2019
761260,Mitsubishi City Multi,"PUMY-P36NKMUI , Arinc",67U01194D,"Roof East Wall
Back South wall Building",7/1/2016
761260,Mitsubishi City Multi ,"MXZ-P48-NKMU-E2, Bsmt   ",6XMO1598,New Bsmt Addition,7/1/2016
761260,Mitsubishi City Multi,"PURY-P288YSKMU-A, 2nd Fl.",N/A,"Expolanka , 205 - 202",1/1/2015
761260,Mitsubishi City Multi,"PURY-P288YSKMU-A ,1st Floor",N/A,"MD Offices ,Mid-America ,Patriot Equity",1/1/2016
761260,Mitsubishi City Multi,"PURY-P336YSKMU-A , 3-4 Fl.",N/A,"JRoger , Arinc , Wen-Parker -Thorn",4/6/2017
1053656,Trane (RTU),YHD240G4RHA04D0,154410242D,20 Tons -Roof,11/1/2015
1053656,Trane (RTU),YHD240G4RHA04D0,154311090D,20 Tons -Roof,10/1/2015
1053656,Trane (RTU),YHD240G4RHA04D0,154511002D,20 Tons -Roof,11/1/2015
1053656,Trane (RTU),YHC120F4EHA02C0,154410170L,10 Tons -Roof,11/1/2015
1053656,Trane (RTU),YHD240G4RHA04D0,154410222D,20 Tons -Roof,11/1/2015
1053656,Midea  (DLU),N/A,N/A,2   Tons -Roof Split System,1/1/2016
1262585,Trane (RTU),YCD240F3L0AA,112510351D,20 Tons -Roof,6/1/2011
1262585,Trane (RTU),YCD240F3L0AA,112510312D,20 Tons -Roof,6/1/2011
1262585,Trane (RTU),YSH180F3RLA0000,1347410115D,15 Tons -Roof,4/1/2011
